# pi(x;beta_fin) computed using matrix squaring algorithm and Trotter approximation. Parameters:
# harmonic_potential   x_max = 5.000   nx = 201   N_iter = 9   beta_ini = 0.008   beta_fin = 4.000
,position_x,prob_density
0,-5.0,5.898855438712891e-12
1,-4.95,1.5272887149838338e-11
2,-4.9,3.247782229186265e-11
3,-4.8500000000000005,6.111532699814202e-11
4,-4.800000000000001,1.0704861608900732e-10
5,-4.75,1.796947749754781e-10
6,-4.7,2.9365694889014355e-10
7,-4.65,4.712829226654663e-10
8,-4.6000000000000005,7.465720835979017e-10
9,-4.55,1.170969989334203e-09
10,-4.5,1.8218985666673744e-09
11,-4.45,2.815252889709725e-09
12,-4.4,4.323605947634477e-09
13,-4.3500000000000005,6.602575977671975e-09
14,-4.3,1.0028797750970466e-08
15,-4.25,1.51542911904321e-08
16,-4.2,2.278385999356585e-08
17,-4.15,3.4084637620847116e-08
18,-4.1000000000000005,5.074023010060873e-08
19,-4.05,7.516634032775838e-08
20,-4.0,1.1081061724121649e-07
21,-3.95,1.6256715216414974e-07
22,-3.9000000000000004,2.373460289943054e-07
23,-3.85,3.44851210787316e-07
24,-3.8000000000000003,4.986365099734046e-07
25,-3.75,7.175302599839233e-07
26,-3.7,1.0275455226950078e-06
27,-3.6500000000000004,1.4644252890941725e-06
28,-3.6,2.077012327157419e-06
29,-3.5500000000000003,2.9316823488703756e-06
30,-3.5,4.118138292335485e-06
31,-3.45,5.75693400134974e-06
32,-3.4000000000000004,8.00917857043613e-06
33,-3.35,1.108896900342539e-05
34,-3.3000000000000003,1.5279209106502608e-05
35,-3.25,2.0951596610755756e-05
36,-3.2,2.859169748400977e-05
37,-3.1500000000000004,3.8830174252283236e-05
38,-3.1,5.2481390534154794e-05
39,-3.0500000000000003,7.059077183093787e-05
40,-3.0,9.449245583623591e-05
41,-2.95,0.0001258789047451986
42,-2.9000000000000004,0.00016688426530922704
43,-2.85,0.00022018333501431231
44,-2.8000000000000003,0.0002891080072957565
45,-2.75,0.0003777830050098378
46,-2.7,0.0004912825470077886
47,-2.6500000000000004,0.000635809303417828
48,-2.6,0.0008188965561409834
49,-2.5500000000000003,0.001049633867550398
50,-2.5,0.001338915749951461
51,-2.45,0.0016997118025404874
52,-2.4000000000000004,0.002147355529251094
53,-2.35,0.0026998475667459427
54,-2.3000000000000003,0.003378167345245571
55,-2.25,0.004206585298555583
56,-2.2,0.005212965673088109
57,-2.15,0.0064290478173921455
58,-2.1,0.007890691642675626
59,-2.0500000000000003,0.009638070830959774
60,-2.0,0.011715795451061899
61,-1.9500000000000002,0.014172944061883587
62,-1.9000000000000001,0.01706298429008897
63,-1.85,0.02044356042644409
64,-1.8,0.024376126954300265
65,-1.75,0.028925408259404827
66,-1.7000000000000002,0.034158667208268934
67,-1.6500000000000001,0.04014476892826908
68,-1.6,0.046953031039634135
69,-1.55,0.054651857786284744
70,-1.5,0.06330716293289639
71,-1.4500000000000002,0.07298059480957218
72,-1.4000000000000001,0.08372758628375838
73,-1.35,0.09559526243103585
74,-1.3,0.10862024889365574
75,-1.25,0.12282643391990908
76,-1.2000000000000002,0.138222746374639
77,-1.1500000000000001,0.1548010200712595
78,-1.1,0.1725340210566836
79,-1.05,0.1913737184579901
80,-1.0,0.2112498806976167
81,-0.9500000000000001,0.23206907690813197
82,-0.9,0.2537141579474648
83,-0.8500000000000001,0.2760442823924617
84,-0.8,0.29889554030024557
85,-0.75,0.322082211582462
86,-0.7000000000000001,0.3453986769352008
87,-0.65,0.36862197799006724
88,-0.6000000000000001,0.3915150004520112
89,-0.55,0.4138302303622433
90,-0.5,0.43531401027027905
91,-0.45,0.45571120007689864
92,-0.4,0.47477012768373206
93,-0.35000000000000003,0.49224769836720245
94,-0.30000000000000004,0.5079145198865878
95,-0.25,0.5215598934752009
96,-0.2,0.5329965195749709
97,-0.15000000000000002,0.542064771732812
98,-0.1,0.5486364024824695
99,-0.05,0.5526175610044536
100,0.0,0.5539510233286279
101,0.05,0.5526175610044537
102,0.1,0.5486364024824696
103,0.15000000000000002,0.5420647717328113
104,0.2,0.5329965195749709
105,0.25,0.5215598934752006
106,0.30000000000000004,0.5079145198865869
107,0.35000000000000003,0.49224769836720206
108,0.4,0.47477012768373245
109,0.45,0.4557112000768988
110,0.5,0.43531401027027955
111,0.55,0.41383023036224303
112,0.6000000000000001,0.3915150004520109
113,0.65,0.368621977990067
114,0.7000000000000001,0.3453986769352014
115,0.75,0.3220822115824621
116,0.8,0.2988955403002457
117,0.8500000000000001,0.27604428239246215
118,0.9,0.25371415794746544
119,0.9500000000000001,0.23206907690813236
120,1.0,0.21124988069761713
121,1.05,0.19137371845799056
122,1.1,0.17253402105668394
123,1.1500000000000001,0.15480102007125995
124,1.2000000000000002,0.1382227463746395
125,1.25,0.12282643391990951
126,1.3,0.10862024889365601
127,1.35,0.09559526243103605
128,1.4000000000000001,0.08372758628375872
129,1.4500000000000002,0.07298059480957242
130,1.5,0.06330716293289651
131,1.55,0.05465185778628492
132,1.6,0.046953031039634247
133,1.6500000000000001,0.040144768928269174
134,1.7000000000000002,0.034158667208269086
135,1.75,0.028925408259404893
136,1.8,0.0243761269543003
137,1.85,0.020443560426444154
138,1.9000000000000001,0.017062984290088998
139,1.9500000000000002,0.014172944061883611
140,2.0,0.01171579545106193
141,2.0500000000000003,0.009638070830959803
142,2.1,0.007890691642675652
143,2.15,0.006429047817392168
144,2.2,0.005212965673088129
145,2.25,0.004206585298555597
146,2.3000000000000003,0.003378167345245588
147,2.35,0.0026998475667459505
148,2.4000000000000004,0.002147355529251104
149,2.45,0.0016997118025404937
150,2.5,0.001338915749951466
151,2.5500000000000003,0.0010496338675504014
152,2.6,0.0008188965561409849
153,2.6500000000000004,0.0006358093034178297
154,2.7,0.0004912825470077907
155,2.75,0.0003777830050098392
156,2.8000000000000003,0.00028910800729575764
157,2.85,0.00022018333501431315
158,2.9000000000000004,0.00016688426530922778
159,2.95,0.00012587890474519917
160,3.0,9.449245583623626e-05
161,3.0500000000000003,7.059077183093814e-05
162,3.1,5.248139053415489e-05
163,3.1500000000000004,3.883017425228341e-05
164,3.2,2.8591697484009874e-05
165,3.25,2.0951596610755834e-05
166,3.3000000000000003,1.5279209106502662e-05
167,3.35,1.1088969003425412e-05
168,3.4000000000000004,8.009178570436169e-06
169,3.45,5.756934001349764e-06
170,3.5,4.118138292335504e-06
171,3.5500000000000003,2.9316823488703862e-06
172,3.6,2.0770123271574297e-06
173,3.6500000000000004,1.464425289094178e-06
174,3.7,1.0275455226950111e-06
175,3.75,7.175302599839249e-07
176,3.8000000000000003,4.986365099734062e-07
177,3.85,3.4485121078731725e-07
178,3.9000000000000004,2.3734602899430618e-07
179,3.95,1.6256715216415032e-07
180,4.0,1.1081061724121696e-07
181,4.05,7.516634032775869e-08
182,4.1000000000000005,5.0740230100608916e-08
183,4.15,3.408463762084724e-08
184,4.2,2.2783859993565897e-08
185,4.25,1.515429119043215e-08
186,4.3,1.00287977509705e-08
187,4.3500000000000005,6.602575977671992e-09
188,4.4,4.3236059476344906e-09
189,4.45,2.815252889709732e-09
190,4.5,1.8218985666673831e-09
191,4.55,1.1709699893342072e-09
192,4.6000000000000005,7.465720835979042e-10
193,4.65,4.712829226654675e-10
194,4.7,2.9365694889014453e-10
195,4.75,1.7969477497547893e-10
196,4.800000000000001,1.070486160890077e-10
197,4.8500000000000005,6.111532699814228e-11
198,4.9,3.247782229186275e-11
199,4.95,1.527288714983839e-11
200,5.0,5.8988554387129125e-12
